Grupo, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt
Pre,6.333,4.6,1.0,0.749,1.0,1.0,0.7,0.6,0.344,,,,,,,,,
Pre,6.4,4.75,1.0,0.791,1.0,1.0,0.9,0.7,0.321,,,,,,,,,
Pre,6.333,6.333,1.0,0.885,0.975,0.975,0.9,0.6,0.382,,,,,,,,,
Pre,5.5,6.567,1.0,0.86,0.975,0.975,0.9,0.5,0.389,,,,,,,,,
Pre,6.0,4.55,0.958,0.803,0.95,0.95,0.6,0.5,0.321,,,,,,,,,
Post,7.45,4.917,0.5,0.879,1.0,1.0,1.0,0.4,0.359,,,,,,,,,
Post,6.833,6.75,0.958,0.864,1.0,1.0,0.8,0.8,0.352,,,,,,,,,
Post,5.583,4.917,0.979,0.849,0.975,1.0,0.5,0.8,0.389,,,,,,,,,
Post,6.167,5.533,1.0,0.952,1.0,1.0,0.8,0.5,0.356,,,,,,,,,
Post,6.15,4.633,0.979,0.813,0.95,0.9,0.7,0.4,0.35,,,,,,,,,
