Grupo, Digit.forw, , Digit.back, , Stroop.corr, , Stroop.rt, , Go.forw, , Go.back, , Nogo.forw, , Nogo.back, , Gonogo.rt, 
 , Pre, Post, Pre, Post, Pre, Post, Pre, Post, Pre, Post, Pre, Post, Pre, Post, Pre, Post, Pre, Post
Lectura,7.583,7.233,7.833,7.917,1.0,0.5,0.639,0.943,1.0,1.0,1.0,1.0,0.8,0.6,0.7,0.8,0.345,0.319
Lectura,8.7,6.95,6.567,6.45,1.0,1.0,0.944,0.973,1.0,0.975,1.0,0.975,1.0,0.9,0.9,0.8,0.378,0.361
Lectura,5.786,5.067,7.5,5.143,1.0,1.0,1.011,0.893,1.0,1.0,1.0,0.975,1.0,0.6,0.6,0.8,0.333,0.361
Lectura,6.167,5.393,5.667,4.5,1.0,0.979,1.062,1.13,1.0,1.0,0.975,0.975,0.9,0.6,0.6,0.7,0.33,0.367
Lectura,6.267,6.0,4.75,6.6,1.0,1.0,0.733,0.844,1.0,1.0,1.0,1.0,0.8,0.7,0.8,0.8,0.349,0.43
Control,8.667,8.9,6.733,8.1,0.979,0.938,0.595,0.631,1.0,0.975,1.0,0.975,0.6,0.5,0.3,0.2,0.318,0.289
Control,7.667,6.417,7.9,7.25,0.979,0.938,0.566,0.548,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.8,0.326,0.318
Control,4.75,6.167,4.5,5.833,1.0,0.896,0.878,0.811,0.975,1.0,0.95,1.0,0.5,0.7,0.4,0.3,0.342,0.32
Control,5.7,5.393,6.0,5.643,0.938,0.979,0.602,0.64,0.975,0.925,0.9,0.95,0.7,0.8,0.7,0.5,0.346,0.339
Control,6.643,4.917,5.067,5.783,0.979,1.0,0.743,0.829,1.0,0.95,1.0,0.975,1.0,0.8,0.6,0.7,0.332,0.39
Cuestionario,6.333,7.45,4.6,4.917,1.0,0.5,0.749,0.879,1.0,1.0,1.0,1.0,0.7,1.0,0.6,0.4,0.344,0.359
Cuestionario,6.4,6.833,4.75,6.75,1.0,0.958,0.791,0.864,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.8,0.321,0.352
Cuestionario,6.333,5.583,6.333,4.917,1.0,0.979,0.885,0.849,0.975,0.975,0.975,1.0,0.9,0.5,0.6,0.8,0.382,0.389
Cuestionario,5.5,6.167,6.567,5.533,1.0,1.0,0.86,0.952,0.975,1.0,0.975,1.0,0.9,0.8,0.5,0.5,0.389,0.356
Cuestionario,6.0,6.15,4.55,4.633,0.958,0.979,0.803,0.813,0.95,0.95,0.95,0.9,0.6,0.7,0.5,0.4,0.321,0.35
